timestamp,rmssd,coverage,low_frequency,high_frequency
2023-04-07T00:15:00,43.687,1.005,1351.221,635.769
2023-04-07T00:20:00,32.125,0.965,269.271,254.642
2023-04-07T00:25:00,31.17,0.988,297.559,240.011
2023-04-07T00:30:00,30.465,1.003,189.869,214.489
2023-04-07T00:35:00,29.89,1.002,150.854,221.537
2023-04-07T00:40:00,29.616,0.999,358.278,247.726
2023-04-07T00:45:00,28.847,1.006,390.654,185.199
2023-04-07T00:50:00,27.902,1.001,241.443,191.293
2023-04-07T00:55:00,31.732,1.002,499.494,254.487
2023-04-07T01:00:00,32.53,1.002,389.645,251.901
2023-04-07T01:05:00,39.48,0.829,3140.417,364.295
2023-04-07T01:10:00,49.134,0.93,4658.659,627.336
2023-04-07T01:15:00,45.018,1.005,3030.358,578.032
2023-04-07T01:20:00,36.52,1.003,764.1,313.134
2023-04-07T01:25:00,48.679,0.944,2253.021,931.325
2023-04-07T01:30:00,42.845,1.002,1880.529,560.993
2023-04-07T01:35:00,39.657,1.004,263.527,529.793
2023-04-07T01:40:00,39.231,1.001,625.342,348.457
2023-04-07T01:45:00,38.406,1.001,793.45,345.792
2023-04-07T01:50:00,38.003,1.005,329.258,330.8
2023-04-07T01:55:00,35.434,0.995,346.323,261.644
2023-04-07T02:00:00,32.938,1.0,414.518,230.529
2023-04-07T02:05:00,36.562,1.002,331.813,271.762
2023-04-07T02:10:00,53.267,0.844,4786.527,553.204
2023-04-07T02:15:00,44.277,1.0,265.3,466.066
2023-04-07T02:20:00,47.655,0.988,768.281,665.789
2023-04-07T02:25:00,49.102,0.995,157.572,583.377
2023-04-07T02:30:00,51.436,1.003,338.035,616.743
2023-04-07T02:35:00,53.028,0.944,3990.029,576.328
2023-04-07T02:40:00,53.638,1.002,3084.783,737.389
2023-04-07T02:45:00,35.121,1.0,1062.712,472.949
2023-04-07T02:50:00,17.811,1.002,456.805,71.278
2023-04-07T02:55:00,33.004,0.937,1577.599,266.705
2023-04-07T03:00:00,67.366,1.005,4191.941,1302.168
2023-04-07T03:05:00,46.707,0.94,1886.912,573.777
2023-04-07T03:10:00,54.477,0.972,1321.589,873.3
2023-04-07T03:15:00,63.979,0.86,15918.95,1318.229
2023-04-07T03:20:00,64.919,0.99,4416.405,1355.677
2023-04-07T03:25:00,45.799,0.923,854.102,446.86
2023-04-07T03:30:00,47.781,0.961,2063.804,520.883
2023-04-07T03:35:00,45.681,0.998,188.516,422.514
2023-04-07T03:40:00,45.462,1.004,340.918,439.218
2023-04-07T03:45:00,44.491,1.005,316.551,416.322
2023-04-07T03:50:00,45.1,0.999,266.887,449.449
2023-04-07T03:55:00,49.463,0.999,412.997,519.161
2023-04-07T04:00:00,48.116,1.002,813.327,507.643
2023-04-07T04:05:00,53.069,0.999,285.057,609.759
2023-04-07T04:10:00,54.224,1.003,316.442,626.379
2023-04-07T04:15:00,69.85,0.935,2608.369,1052.086
2023-04-07T04:20:00,61.624,1.002,827.391,950.645
2023-04-07T04:25:00,63.978,0.986,766.927,962.023
2023-04-07T04:30:00,55.292,0.811,2741.377,357.7
2023-04-07T04:35:00,61.658,0.972,2881.303,822.024
2023-04-07T04:40:00,56.207,0.983,1046.404,796.794
2023-04-07T04:45:00,61.261,0.994,786.383,786.95
2023-04-07T04:50:00,74.285,0.881,4269.859,1047.39
2023-04-07T04:55:00,68.407,0.977,4172.742,984.532
2023-04-07T05:00:00,74.741,1.001,5880.245,1676.217
2023-04-07T05:05:00,39.708,1.004,1558.709,161.121
2023-04-07T05:10:00,36.834,0.989,1896.799,165.194
2023-04-07T05:15:00,62.058,0.949,1706.038,892.222
2023-04-07T05:20:00,33.236,1.004,385.315,201.573
2023-04-07T05:25:00,62.409,0.954,1238.93,812.852
2023-04-07T05:30:00,37.183,0.915,1382.805,255.699
2023-04-07T05:35:00,60.541,0.916,2941.02,902.085
2023-04-07T05:40:00,63.176,1.002,2085.864,901.059
2023-04-07T05:45:00,59.95,0.912,4659.733,864.686
2023-04-07T05:50:00,62.886,0.926,3183.857,724.627
2023-04-07T05:55:00,64.729,0.993,2064.509,882.562
2023-04-07T06:00:00,64.651,0.991,1351.323,833.718
2023-04-07T06:05:00,56.012,1.005,647.317,749.55
2023-04-07T06:10:00,57.23,0.99,1282.254,657.48
2023-04-07T06:15:00,53.13,1.0,692.757,657.099
2023-04-07T06:20:00,54.601,1.004,348.747,595.865
2023-04-07T06:25:00,56.762,1.002,675.564,653.367
2023-04-07T06:30:00,55.316,1.0,375.425,662.477
2023-04-07T06:35:00,53.495,1.003,466.83,689.926
2023-04-07T06:40:00,57.492,1.003,499.121,730.561
2023-04-07T06:45:00,58.117,0.983,450.553,749.023
2023-04-07T06:50:00,59.558,0.937,2033.817,741.409
2023-04-07T06:55:00,65.379,0.978,2597.645,982.979
2023-04-07T07:00:00,67.123,0.864,6061.381,960.327
2023-04-07T07:05:00,62.507,0.884,1803.164,707.816
2023-04-07T07:10:00,61.736,0.847,1577.276,551.024
2023-04-07T07:15:00,59.015,0.958,3172.634,900.488
2023-04-07T07:20:00,36.859,0.999,816.216,149.711
2023-04-07T07:25:00,60.608,0.956,3558.086,640.217
2023-04-07T07:30:00,52.307,0.969,1325.112,415.408
2023-04-07T07:35:00,62.479,0.928,1863.724,1011.406
2023-04-07T07:40:00,53.689,0.961,2097.203,558.823
2023-04-07T07:45:00,56.736,0.959,3217.671,738.486
2023-04-07T07:50:00,54.909,0.893,1646.124,667.137
2023-04-07T07:55:00,63.186,0.958,2032.659,1004.71