timestamp,bucket_values
2023-03-16T08:17:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.004, 0.006, 0.008, 0.018, 0.029, 0.047, 0.091, 0.185, 0.28, 0.206, 0.075, 0.031, 0.012, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-17T09:02:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.004, 0.008, 0.016, 0.025, 0.064, 0.086, 0.102, 0.158, 0.173, 0.16, 0.112, 0.055, 0.025, 0.008, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-18T09:38:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.004, 0.004, 0.008, 0.019, 0.027, 0.039, 0.075, 0.153, 0.233, 0.215, 0.139, 0.056, 0.016, 0.006, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-19T09:57:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.003, 0.004, 0.006, 0.013, 0.023, 0.022, 0.025, 0.064, 0.196, 0.302, 0.231, 0.079, 0.02, 0.006, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-20T05:40:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.003, 0.012, 0.022, 0.02, 0.03, 0.035, 0.035, 0.089, 0.222, 0.294, 0.158, 0.05, 0.018, 0.005, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-21T08:20:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.003, 0.003, 0.004, 0.008, 0.014, 0.022, 0.035, 0.06, 0.125, 0.211, 0.238, 0.19, 0.06, 0.017, 0.006, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-22T08:58:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.003, 0.003, 0.007, 0.009, 0.012, 0.019, 0.022, 0.032, 0.072, 0.195, 0.288, 0.227, 0.071, 0.025, 0.008, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-23T09:31:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.003, 0.003, 0.006, 0.008, 0.027, 0.061, 0.075, 0.088, 0.121, 0.182, 0.208, 0.141, 0.052, 0.017, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-24T10:04:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.006, 0.029, 0.073, 0.095, 0.17, 0.199, 0.192, 0.132, 0.067, 0.022, 0.007, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-25T09:43:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.004, 0.019, 0.035, 0.042, 0.048, 0.063, 0.115, 0.221, 0.212, 0.141, 0.074, 0.016, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-26T10:31:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.001, 0.001, 0.003, 0.005, 0.012, 0.025, 0.044, 0.104, 0.235, 0.349, 0.176, 0.031, 0.009, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-27T08:13:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.001, 0.005, 0.011, 0.013, 0.018, 0.024, 0.055, 0.18, 0.275, 0.238, 0.122, 0.035, 0.012, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-28T08:12:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.002, 0.004, 0.009, 0.017, 0.029, 0.063, 0.155, 0.197, 0.197, 0.183, 0.103, 0.024, 0.008, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-29T08:11:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.001, 0.002, 0.006, 0.007, 0.011, 0.016, 0.023, 0.035, 0.104, 0.226, 0.273, 0.193, 0.069, 0.022, 0.006, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-30T08:33:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.004, 0.009, 0.012, 0.017, 0.026, 0.037, 0.071, 0.177, 0.259, 0.23, 0.108, 0.033, 0.008, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-31T09:09:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.003, 0.004, 0.006, 0.008, 0.015, 0.031, 0.054, 0.121, 0.253, 0.297, 0.152, 0.039, 0.01, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"