timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2023-03-16T08:17:30,14.4,0.9,11.005,14.4,0.9,11.005,13.6,1.7,10.482,14.0,2.0,2.921
2023-03-17T09:02:30,15.2,1.0,7.437,15.2,1.0,7.437,14.4,1.5,7.871,13.6,0.6,3.06
2023-03-18T09:38:30,14.6,0.9,14.749,14.6,0.9,14.749,14.0,1.4,9.54,13.0,2.0,7.227
2023-03-19T09:57:30,15.0,1.1,10.07,15.0,1.1,10.07,14.2,1.7,10.928,14.6,1.1,5.954
2023-03-20T05:40:30,15.2,1.2,10.171,15.2,1.2,10.171,14.6,1.3,6.417,14.2,0.7,4.074
2023-03-21T08:20:30,15.6,1.1,9.849,15.6,1.1,9.849,14.2,1.6,10.651,14.6,1.0,4.668
2023-03-22T08:58:30,14.8,1.1,12.426,14.8,1.1,12.426,13.8,1.4,14.318,14.0,2.0,5.063
2023-03-23T09:31:30,15.2,0.9,9.928,15.2,0.9,9.928,14.4,1.4,13.659,14.4,1.0,3.56
2023-03-24T10:04:00,16.4,0.9,5.167,16.4,0.9,5.167,15.4,1.9,5.738,14.4,1.0,4.045
2023-03-25T09:43:00,15.4,1.1,7.0,15.4,1.1,7.0,14.8,2.0,6.544,14.0,1.7,5.823
2023-03-26T10:31:30,15.6,1.6,10.016,15.6,1.6,10.016,15.4,0.9,5.381,14.2,2.0,2.521
2023-03-27T08:13:30,14.8,1.0,10.5,14.8,1.0,10.5,14.0,1.7,12.988,13.4,0.9,4.465
2023-03-28T08:12:00,15.0,1.2,11.268,15.0,1.2,11.268,14.0,1.7,10.614,13.2,1.5,6.204
2023-03-29T08:11:30,14.8,0.8,14.588,14.8,0.8,14.588,13.6,1.8,16.06,13.2,1.3,7.464
2023-03-30T08:33:00,14.8,1.6,19.103,14.8,1.6,19.103,14.0,1.4,15.598,14.2,0.6,3.689
2023-03-31T09:09:00,15.4,0.7,9.417,15.4,0.7,9.417,14.4,1.1,11.605,14.2,1.1,2.642